scenario,timestamp_ms,latency_ms,fps,theta_output,decision,jt_cm,djt_cm
belok,1750247164846,221.47750854492188,4.515131159682392,37.08810744668057,KIRI TAJAM,0.0,0.0
belok,1750247165090,229.8727035522461,4.3502337795958335,37.3516464461401,KIRI TAJAM,0.0,0.0
belok,1750247165324,218.78290176391602,4.570741095111165,40.391744801081494,KIRI TAJAM,49.8,0.0
belok,1750247165576,224.26414489746094,4.459027547436192,43.02044443524627,KIRI TAJAM,49.8,0.0
belok,1750247165812,224.4243621826172,4.455844233106414,45.529788017486894,KIRI TAJAM,50.519999999999996,0.7199999999999989
belok,1750247166046,225.01182556152344,4.44421086538217,38.20386246173385,KIRI TAJAM,46.44,-4.079999999999998
belok,1750247166269,206.87294006347656,4.833884990918395,38.427013464744505,KIRI TAJAM,0.0,0.0
belok,1750247166514,229.3112277984619,4.360885463832955,34.868960901239575,KIRI SEDANG,47.4,0.0
belok,1750247166764,233.93654823303223,4.274663397204039,29.246311027555322,KIRI SEDANG,45.96,-1.4399999999999977
belok,1750247167008,235.5353832244873,4.245646604386851,27.888633037389138,KIRI SEDANG,48.96,3.0
belok,1750247167241,233.4752082824707,4.283110002798014,38.06269897145507,KIRI TAJAM,50.879999999999995,1.9199999999999946
belok,1750247167672,414.7324562072754,2.41119301138134,40.66271335184251,KIRI TAJAM,49.559999999999995,-1.3200000000000003
belok,1750247167911,222.14698791503906,4.501524010680954,39.80009269324255,KIRI TAJAM,47.16,-2.3999999999999986
belok,1750247168148,205.98840713500977,4.8546421320913264,44.242368557123214,KIRI TAJAM,48.96,1.8000000000000043
belok,1750247168400,220.5057144165039,4.5350298637210935,45.56833007056889,KIRI TAJAM,49.8,0.8399999999999963
belok,1750247168637,220.69096565246582,4.531223093086442,35.39426413650296,KIRI TAJAM,45.6,-4.199999999999996
belok,1750247168874,205.08837699890137,4.875946724203473,32.23233009106934,KIRI SEDANG,0.0,0.0
belok,1750247169126,235.88109016418457,4.239424191671965,36.032452554923054,KIRI TAJAM,49.199999999999996,0.0
belok,1750247169344,206.26521110534668,4.848127295151415,37.23930471426141,KIRI TAJAM,50.4,1.2000000000000028
belok,1750247169608,232.04827308654785,4.309448144985877,25.57195404758807,KIRI SEDANG,42.0,-8.399999999999999
belok,1750247169858,234.50469970703125,4.264306861437356,33.18397689152742,KIRI SEDANG,47.16,5.159999999999997
belok,1750247170091,218.40929985046387,4.578559615751986,33.873617169727495,KIRI SEDANG,48.12,0.9600000000000009
belok,1750247170322,214.98680114746094,4.651448343166393,24.242659762752943,KIRI SEDANG,44.519999999999996,-3.6000000000000014
belok,1750247170555,217.70143508911133,4.593446982059038,18.81320540054302,KIRI RINGAN,0.0,0.0
belok,1750247170798,225.90231895446777,4.426692052690071,21.57399927168891,KIRI SEDANG,42.48,-2.039999999999999
belok,1750247171049,238.65365982055664,4.190172489924934,12.556624005600908,KIRI RINGAN,38.4,-4.079999999999998
belok,1750247171318,253.6182403564453,3.942934067339004,0.041599136994072694,LURUS,27.24,-11.16
belok,1750247171585,251.76429748535156,3.9719690599028765,-1.3609125095776216,LURUS,28.56,1.3200000000000003
belok,1750247171829,227.48732566833496,4.39584929429409,-7.650996186266143,KANAN RINGAN,26.279999999999998,-2.280000000000001
belok,1750247172091,236.2964153289795,4.231972789802028,-13.056340516534414,KANAN RINGAN,23.64,-2.639999999999997
belok,1750247172329,221.99416160583496,4.504622971912049,-13.804871487588311,KANAN RINGAN,23.16,-0.4800000000000004
belok,1750247172559,215.8052921295166,4.633806660310467,-11.222840356593398,KANAN RINGAN,22.2,-0.9600000000000009
belok,1750247172813,222.23615646362305,4.499717849303635,-11.98679545808845,KANAN RINGAN,20.88,-1.3200000000000003
belok,1750247173034,205.3380012512207,4.87001915820029,-12.712718481425265,KANAN RINGAN,21.0,0.120000000000001
belok,1750247173271,205.6593894958496,4.862408677043073,-10.823915940957368,KANAN RINGAN,21.48,0.4800000000000004
belok,1750247173507,204.0731906890869,4.9002026999398325,-10.84031050070171,KANAN RINGAN,21.72,0.23999999999999844
belok,1750247173745,206.13741874694824,4.851132832062808,-10.835946620727212,KANAN RINGAN,23.4,1.6799999999999997
belok,1750247174038,260.8647346496582,3.8334043171569423,-10.402838901171553,KANAN RINGAN,25.32,1.9200000000000017
belok,1750247174332,278.6679267883301,3.5885005193280732,-10.401998300038269,KANAN RINGAN,23.4,-1.9200000000000017
belok,1750247174582,234.70449447631836,4.260676823557377,-10.402172585818542,KANAN RINGAN,21.599999999999998,-1.8000000000000007
belok,1750247174837,238.6918067932129,4.189502829757099,-10.393456441067688,KANAN RINGAN,20.279999999999998,-1.3200000000000003
belok,1750247175099,229.8414707183838,4.350824926739452,-10.389321105486932,KANAN RINGAN,19.56,-0.7199999999999989
belok,1750247175336,220.99971771240234,4.5248926575614385,-10.81377471314142,KANAN RINGAN,19.8,0.240000000000002
belok,1750247175587,219.08974647521973,4.5643395735687955,-10.798399826059217,KANAN RINGAN,18.48,-1.3200000000000003
belok,1750247175825,222.0003604888916,4.504497189994598,-10.776666437570208,KANAN RINGAN,18.72,0.23999999999999844
belok,1750247176056,215.65818786621094,4.636967461770455,-12.61243912922836,KANAN RINGAN,16.32,-2.3999999999999986
belok,1750247176278,206.07352256774902,4.852636998386043,-12.596058109881167,KANAN RINGAN,16.919999999999998,0.5999999999999979
belok,1750247176516,206.01272583007812,4.854069067678918,-12.580271313508868,KANAN RINGAN,17.4,0.4800000000000004
belok,1750247176747,214.73979949951172,4.656798610833544,-12.580271313508868,KANAN RINGAN,16.08,-1.3200000000000003
belok,1750247176969,206.62808418273926,4.8396131820861905,-12.5762792118018,KANAN RINGAN,17.16,1.0800000000000018
belok,1750247177221,219.9246883392334,4.547011104353604,-10.719729967345199,KANAN RINGAN,17.16,0.0
belok,1750247177444,206.7098617553711,4.837698557330762,-10.721505918597533,KANAN RINGAN,17.28,0.120000000000001
belok,1750247177687,211.26604080200195,4.733368392780162,-10.730739338063511,KANAN RINGAN,18.599999999999998,1.3199999999999967
belok,1750247177940,221.52996063232422,4.514062103137874,-10.733570168894342,KANAN RINGAN,17.16,-1.4399999999999977
belok,1750247178174,218.1246280670166,4.5845350378901735,-10.732248840602187,KANAN RINGAN,17.88,0.7199999999999989
belok,1750247178395,205.63721656799316,4.862932968504531,-10.751600337341362,KANAN RINGAN,16.2,-1.6799999999999997
belok,1750247178642,214.9941921234131,4.651288437717286,-10.747981766658002,KANAN RINGAN,15.6,-0.5999999999999996
belok,1750247178909,233.81853103637695,4.276820984066581,-10.745293935970171,KANAN RINGAN,14.399999999999999,-1.200000000000001
belok,1750247179175,249.88913536071777,4.0017746211994725,-10.724742307418543,KANAN RINGAN,14.52,0.120000000000001
belok,1750247179436,260.6673240661621,3.8363074604095058,-12.086590897797091,KANAN RINGAN,12.24,-2.2799999999999994
belok,1750247179691,234.66062545776367,4.261473342829682,-12.059787478993675,KANAN RINGAN,12.24,0.0
belok,1750247179946,222.68271446228027,4.490694315518539,-12.079062332794845,KANAN RINGAN,10.68,-1.5600000000000005
belok,1750247180183,237.54286766052246,4.209766472252584,-12.065538523271034,KANAN RINGAN,11.04,0.35999999999999943
belok,1750247180442,243.06058883666992,4.114200515954368,-14.390693028401227,KANAN RINGAN,8.52,-2.5199999999999996
belok,1750247180709,249.69196319580078,4.004934669105992,-13.032697979199986,KANAN RINGAN,9.719999999999999,1.1999999999999993
belok,1750247180957,247.8628158569336,4.034489790421811,-13.04304141354342,KANAN RINGAN,10.68,0.9600000000000009
belok,1750247181181,224.55787658691406,4.453194941095529,-13.019527243502935,KANAN RINGAN,10.799999999999999,0.11999999999999922
belok,1750247181414,220.96800804138184,4.525541995258991,-13.022257402233095,KANAN RINGAN,11.4,0.6000000000000014
belok,1750247181652,222.48196601867676,4.494746328859988,-10.717654525654527,KANAN RINGAN,9.959999999999999,-1.4400000000000013
belok,1750247181905,221.32539749145508,4.518234289124491,-10.702350776677656,KANAN RINGAN,12.0,2.040000000000001
belok,1750247182122,217.26584434509277,4.602656266631844,-10.69914416433642,KANAN RINGAN,0.0,0.0
belok,1750247182344,205.4154872894287,4.868182108348083,-10.705434535665242,KANAN RINGAN,0.0,0.0
belok,1750247182594,218.23644638061523,4.582186049052275,-10.70874366502051,KANAN RINGAN,0.0,0.0
belok,1750247182830,231.77242279052734,4.314577152708914,-10.696402307934523,KANAN RINGAN,0.0,0.0
belok,1750247183052,214.45989608764648,4.662876454958811,-10.70241508992687,KANAN RINGAN,0.0,0.0
belok,1750247183278,214.21337127685547,4.668242668696771,-10.702427952576713,KANAN RINGAN,0.0,0.0
belok,1750247183501,214.10155296325684,4.670680740796008,-10.703084710224772,KANAN RINGAN,0.0,0.0
belok,1750247183774,241.09458923339844,4.147749657840399,-10.702614745136676,KANAN RINGAN,0.0,0.0
belok,1750247184017,227.68807411193848,4.391973553732854,-10.70138896115991,KANAN RINGAN,0.0,0.0
belok,1750247184253,235.75592041015625,4.241675026698165,-10.70238629180499,KANAN RINGAN,0.0,0.0
belok,1750247184499,222.92470932006836,4.485819463665785,-10.702380532180614,KANAN RINGAN,0.0,0.0
belok,1750247184723,224.2145538330078,4.460013781017924,-10.702371048101394,KANAN RINGAN,0.0,0.0
belok,1750247184945,205.74665069580078,4.860346433918449,-10.702228315676717,KANAN RINGAN,0.0,0.0
belok,1750247185193,232.34891891479492,4.303871972680501,-10.702151029784725,KANAN RINGAN,0.0,0.0
belok,1750247185429,220.36242485046387,4.537978744237325,-10.702303443509688,KANAN RINGAN,0.0,0.0
belok,1750247185682,237.257719039917,4.214825987734279,-10.702286873850628,KANAN RINGAN,0.0,0.0
belok,1750247185915,216.78614616394043,4.61284089271908,-10.70226814218463,KANAN RINGAN,0.0,0.0
belok,1750247186152,221.29178047180176,4.518920666045369,-10.702247561001275,KANAN RINGAN,0.0,0.0
belok,1750247186369,201.15089416503906,4.971392268231858,-10.702251410066191,KANAN RINGAN,0.0,0.0
belok,1750247186606,205.63459396362305,4.862994988950648,-10.702271486122482,KANAN RINGAN,0.0,0.0
belok,1750247186846,223.06251525878906,4.48304816629471,-10.70226509464504,KANAN RINGAN,0.0,0.0
belok,1750247187083,227.30016708374023,4.399468829389762,-10.702260738803925,KANAN RINGAN,0.0,0.0
belok,1750247187324,225.79264640808105,4.428842196183278,-10.702259258127786,KANAN RINGAN,0.0,0.0
belok,1750247187562,221.97532653808594,4.505005198532381,-10.702261597553084,KANAN RINGAN,0.0,0.0
belok,1750247187783,205.46698570251465,4.866961943208969,-10.702263635050464,KANAN RINGAN,0.0,0.0
belok,1750247188032,216.57633781433105,4.61730958280997,-10.70226206483606,KANAN RINGAN,0.0,0.0
belok,1750247188252,204.8513889312744,4.881587599757451,-10.702261458874265,KANAN RINGAN,0.0,0.0
belok,1750247188486,217.63181686401367,4.594916379459561,-10.702261602888331,KANAN RINGAN,0.0,0.0
belok,1750247188707,205.49893379211426,4.8662052962844795,-10.70226207184044,KANAN RINGAN,0.0,0.0
belok,1750247188943,204.96439933776855,4.878896058198197,-10.702262166697912,KANAN RINGAN,0.0,0.0
belok,1750247189177,205.13057708740234,4.8749436295590325,-10.7022618730274,KANAN RINGAN,0.0,0.0
belok,1750247189440,230.1619052886963,4.344767648432879,-10.702261834665672,KANAN RINGAN,0.0,0.0
belok,1750247189685,240.89932441711426,4.151111682939019,-10.70226190982395,KANAN RINGAN,0.0,0.0
belok,1750247189919,233.9022159576416,4.275290834273646,-10.702261971211076,KANAN RINGAN,0.0,0.0
belok,1750247190159,224.6074676513672,4.452211720547899,-10.7022619510852,KANAN RINGAN,0.0,0.0
belok,1750247190385,213.83953094482422,4.676403822911603,-10.702261907962658,KANAN RINGAN,0.0,0.0
belok,1750247190620,210.19864082336426,4.7574046915000165,-7.537626480330458,KANAN RINGAN,22.68,0.0
belok,1750247190857,204.61654663085938,4.887190290646731,-6.904699409463416,KANAN RINGAN,0.0,0.0
belok,1750247191094,220.37696838378906,4.537679265369003,-6.14518690939131,KANAN RINGAN,0.0,0.0
belok,1750247191336,230.89289665222168,4.331012406614796,6.43970992929535,KIRI RINGAN,42.12,0.0
belok,1750247191559,209.0170383453369,4.784298963933289,9.868104305371459,KIRI RINGAN,0.0,0.0
belok,1750247191821,245.88346481323242,4.066967255238483,19.12190756710525,KIRI RINGAN,36.6,0.0
belok,1750247192077,229.97212409973145,4.348353105467393,30.260390270145912,KIRI SEDANG,35.4,-1.2000000000000028
belok,1750247192344,251.80697441101074,3.971295879866118,31.240125706386912,KIRI SEDANG,34.08,-1.3200000000000003
belok,1750247192597,237.67685890197754,4.207393200245965,19.71191765094971,KIRI RINGAN,32.64,-1.4399999999999977
belok,1750247192847,228.48010063171387,4.3767487725852146,24.092144801854936,KIRI SEDANG,32.879999999999995,0.23999999999999488
belok,1750247193090,226.97877883911133,4.405698211588437,13.095772855643919,KIRI RINGAN,33.36,0.480000000000004
belok,1750247193325,225.89826583862305,4.426771477362198,2.624229965278815,LURUS,33.0,-0.35999999999999943
belok,1750247193604,255.2785873413086,3.9172889916653904,1.8247683453481165,LURUS,31.799999999999997,-1.2000000000000028
belok,1750247193853,235.7168197631836,4.242378634688287,1.928214103882511,LURUS,32.64,0.8400000000000034
belok,1750247194095,229.31575775146484,4.360799317959701,-4.674274155872418,KANAN RINGAN,32.64,0.0
belok,1750247194340,221.96698188781738,4.505174560175812,-5.244925228824938,KANAN RINGAN,31.32,-1.3200000000000003
belok,1750247194574,221.95911407470703,4.505334255674763,-5.545524902383102,KANAN RINGAN,31.56,0.23999999999999844
belok,1750247194852,261.547327041626,3.823399808023453,-5.450391671914255,KANAN RINGAN,31.799999999999997,0.23999999999999844
belok,1750247195128,252.9892921447754,3.95273646375413,-5.5352054709325555,KANAN RINGAN,32.04,0.240000000000002
belok,1750247195393,249.95183944702148,4.0007707173203455,-5.684126317635534,KANAN RINGAN,31.919999999999998,-0.120000000000001
belok,1750247195654,246.04511260986328,4.064295321263425,-1.303224440090744,LURUS,31.2,-0.7199999999999989
belok,1750247195917,239.81547355651855,4.1698727157583715,-1.2699330247039895,LURUS,32.04,0.8399999999999999
belok,1750247196162,244.858980178833,4.083983357562173,2.4910953656905086,LURUS,30.959999999999997,-1.0800000000000018
belok,1750247196427,248.6269474029541,4.022090165388558,2.3190755519201787,LURUS,30.72,-0.23999999999999844
belok,1750247196677,250.61798095703125,3.9901366860482814,4.923693890850301,KIRI RINGAN,29.04,-1.6799999999999997
belok,1750247196926,233.0307960510254,4.2912783071857845,0.49993918918804764,LURUS,29.4,0.35999999999999943
belok,1750247197154,227.83946990966797,4.389055155353338,2.9527843004482763,LURUS,27.36,-2.039999999999999
belok,1750247197392,222.06544876098633,4.503176903833972,1.732267833759853,LURUS,27.24,-0.120000000000001
belok,1750247197625,232.47790336608887,4.301484078791241,1.500315106402612,LURUS,27.48,0.240000000000002
belok,1750247197853,228.6844253540039,4.372838239648363,-1.054763036707623,LURUS,24.599999999999998,-2.8800000000000026
belok,1750247198093,215.07906913757324,4.649452891951841,-1.8220568184616788,LURUS,24.599999999999998,0.0
belok,1750247198327,218.1236743927002,4.584555082267889,-5.317290467003373,KANAN RINGAN,23.52,-1.0799999999999983
belok,1750247198560,218.0173397064209,4.586791130221963,-5.668009780615407,KANAN RINGAN,22.8,-0.7199999999999989
belok,1750247198808,216.62068367004395,4.616364342766074,-3.1995506358173254,KANAN RINGAN,22.56,-0.240000000000002
belok,1750247199046,222.27835655212402,4.498863566887589,-1.368081679161315,LURUS,21.84,-0.7199999999999989
