scenario,timestamp_ms,frame_latency_ms,fps,theta_output,decision,jt_cm,djt_cm
democpt2,1750255497958,235.17680168151855,4.252120076682654,37.26523380643165,KIRI TAJAM,50.4,1.2000000000000028
democpt2,1750255498226,236.85717582702637,4.221953573955837,34.46677240249223,KIRI SEDANG,nan,nan
democpt2,1750255498477,236.860990524292,4.221885578484238,34.46677240249223,KIRI SEDANG,47.16,-3.240000000000002
democpt2,1750255498745,235.45312881469727,4.247129800458098,35.15641268069231,KIRI TAJAM,48.12,0.9600000000000009
democpt2,1750255499019,240.71335792541504,4.154318682679213,25.49952618154751,KIRI SEDANG,44.519999999999996,-3.6000000000000014
democpt2,1750255499251,208.01138877868652,4.807429082952515,20.3214451030965,KIRI SEDANG,nan,nan
democpt2,1750255499508,234.22622680664062,4.2693767202488555,14.457390018226857,KIRI RINGAN,42.48,0
democpt2,1750255499756,216.48550033569336,4.619247009380995,13.052037596078216,KIRI RINGAN,38.4,-4.079999999999998
democpt2,1750255499999,210.70480346679688,4.745976283153797,7.893952009793192,KIRI RINGAN,nan,nan
democpt2,1750255500253,239.9580478668213,4.167395129647864,9.47274241175183,KIRI RINGAN,nan,nan
democpt2,1750255500520,234.73381996154785,4.260144533769406,6.267385657792694,KIRI RINGAN,nan,nan
democpt2,1750255500768,231.73904418945312,4.315198604092249,-1.7538059723502357,LURUS,23.64,-14.759999999999998
democpt2,1750255501022,222.05662727355957,4.503355798375087,-2.502336943404138,LURUS,23.16,-0.4800000000000004
democpt2,1750255501273,221.96149826049805,4.5052858619037695,-7.277245094731032,KANAN RINGAN,22.2,-0.9600000000000009
democpt2,1750255501518,228.8048267364502,4.370537170318763,-11.022502244756417,KANAN RINGAN,20.88,-1.3200000000000003
democpt2,1750255501756,221.88663482666016,4.506805922678529,-15.08452547458153,KANAN RINGAN,21.0,0.120000000000001
democpt2,1750255502045,257.27224349975586,3.88693310400175,-10.823915940957368,KANAN RINGAN,21.48,0.4800000000000004
democpt2,1750255502312,249.82476234436035,4.002805769195899,-10.84031050070171,KANAN RINGAN,21.72,0.23999999999999844
democpt2,1750255502561,234.18188095092773,4.270185190841249,-10.835946620727212,KANAN RINGAN,23.4,1.6799999999999997
democpt2,1750255502823,229.44140434265137,4.358411259140414,-10.402838901171553,KANAN RINGAN,25.32,1.9200000000000017
democpt2,1750255503083,239.29166793823242,4.179000500168383,-10.401998300038269,KANAN RINGAN,23.4,-1.9200000000000017
